Du,Dd,Fu_Nq,Fd_Nq,Fu_NEvents,Fd_NEvents,Du_out,Dd_out,Fu_Nq_out,Fd_Nq_out,Fu_NEvents_out,Fd_NEvents_out,Du_in,Dd_in,Fu_Nq_in,Fd_Nq_in,Fu_NEvents_in,Fd_NEvents_in,Du_notIN,Dd_notIN,Fu_Nq_notIN,Fd_Nq_notIN,Fu_NEvents_notIN,Fd_NEvents_notIN,Du_notOUT,Dd_notOUT,Fu_Nq_notOUT,Fd_Nq_notOUT,Fu_NEvents_notOUT,Fd_NEvents_notOUT
-1.0,-1.0,0.2,0.75,0.19047619047619047,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.42857142857142855,0.5714285714285714,0.42857142857142855,0.5714285714285714,-1.0,-1.0,0.07692307692307693,0.8461538461538461,0.07142857142857142,0.7857142857142857,-1.0,-1.0,0.2,0.75,0.19047619047619047,0.7142857142857143
-1.0,-1.0,0.30434782608695654,0.6956521739130435,0.30434782608695654,0.6956521739130435,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.4,0.6,0.4,0.6,-1.0,-1.0,0.2777777777777778,0.7222222222222222,0.2777777777777778,0.7222222222222222,-1.0,-1.0,0.30434782608695654,0.6956521739130435,0.30434782608695654,0.6956521739130435
-1.0,-1.0,0.22727272727272727,0.7272727272727273,0.21739130434782608,0.6956521739130435,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,-1.0,-1.0,0.1875,0.75,0.17647058823529413,0.7058823529411765,-1.0,-1.0,0.22727272727272727,0.7272727272727273,0.21739130434782608,0.6956521739130435
-1.0,-1.0,0.35714285714285715,0.6428571428571429,0.35714285714285715,0.6428571428571429,0.0,-1.0,0.0,1.0,0.0,1.0,-1.0,-1.0,0.75,0.25,0.75,0.25,-1.0,-1.0,0.2916666666666667,0.7083333333333334,0.2916666666666667,0.7083333333333334,-1.0,-1.0,0.37037037037037035,0.6296296296296297,0.37037037037037035,0.6296296296296297
-1.0,-0.9130434782608695,0.20689655172413793,0.7931034482758621,0.20689655172413793,0.7931034482758621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,1.0,-1.0,-0.8947368421052632,0.24,0.76,0.24,0.76,-1.0,-0.9130434782608695,0.20689655172413793,0.7931034482758621,0.20689655172413793,0.7931034482758621
-1.0,-1.0,0.2571428571428571,0.7142857142857143,0.25,0.6944444444444444,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.5,0.5,0.5,0.5,-1.0,-1.0,0.20689655172413793,0.7586206896551724,0.2,0.7333333333333333,-1.0,-1.0,0.2571428571428571,0.7142857142857143,0.25,0.6944444444444444
-1.0,-1.0,0.2558139534883721,0.7441860465116279,0.25,0.7272727272727273,0.0,-1.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,1.0,0.0,1.0,-1.0,-1.0,0.2682926829268293,0.7317073170731707,0.2619047619047619,0.7142857142857143,-1.0,-1.0,0.2619047619047619,0.7380952380952381,0.2558139534883721,0.7209302325581395
-1.0,-1.0,0.16393442622950818,0.8360655737704918,0.15625,0.796875,0.0,-1.0,0.0,1.0,0.0,1.0,-1.0,-1.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,-1.0,-1.0,0.1346153846153846,0.8653846153846154,0.12727272727272726,0.8181818181818182,-1.0,-1.0,0.16666666666666666,0.8333333333333334,0.15873015873015872,0.7936507936507936
-1.0,-1.0,0.13636363636363635,0.8636363636363636,0.13432835820895522,0.8507462686567164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,1.0,-1.0,-1.0,0.16071428571428573,0.8392857142857143,0.15789473684210525,0.8245614035087719,-1.0,-1.0,0.13636363636363635,0.8636363636363636,0.13432835820895522,0.8507462686567164
-0.7647058823529411,-1.0,0.23943661971830985,0.7464788732394366,0.2125,0.6625,-1.0,-1.0,0.25,0.75,0.2,0.6,-1.0,-1.0,0.4,0.6,0.3333333333333333,0.5,-0.7333333333333333,-1.0,0.22727272727272727,0.7575757575757576,0.20270270270270271,0.6756756756756757,-0.75,-1.0,0.23880597014925373,0.746268656716418,0.21333333333333335,0.6666666666666666
