Du,Dd,Fu_Nq,Fd_Nq,Fu_NEvents,Fd_NEvents,Du_out,Dd_out,Fu_Nq_out,Fd_Nq_out,Fu_NEvents_out,Fd_NEvents_out,Du_in,Dd_in,Fu_Nq_in,Fd_Nq_in,Fu_NEvents_in,Fd_NEvents_in,Du_notIN,Dd_notIN,Fu_Nq_notIN,Fd_Nq_notIN,Fu_NEvents_notIN,Fd_NEvents_notIN,Du_notOUT,Dd_notOUT,Fu_Nq_notOUT,Fd_Nq_notOUT,Fu_NEvents_notOUT,Fd_NEvents_notOUT
-0.6666666666666666,-1.0,0.18181818181818182,0.8181818181818182,0.18181818181818182,0.8181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,-1.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,-1.0,-1.0,0.09523809523809523,0.9047619047619048,0.09523809523809523,0.9047619047619048,-0.6666666666666666,-1.0,0.18181818181818182,0.8181818181818182,0.18181818181818182,0.8181818181818182
-0.7777777777777778,-0.8823529411764706,0.34615384615384615,0.6538461538461539,0.3333333333333333,0.6296296296296297,0.0,-1.0,0.0,1.0,0.0,1.0,-1.0,-1.0,0.5714285714285714,0.42857142857142855,0.5714285714285714,0.42857142857142855,-0.6,-0.8571428571428571,0.2631578947368421,0.7368421052631579,0.25,0.7,-0.7777777777777778,-0.8666666666666667,0.375,0.625,0.36,0.6
-1.0,-1.0,0.3076923076923077,0.6410256410256411,0.3076923076923077,0.6410256410256411,0.0,-1.0,0.0,1.0,0.0,1.0,-1.0,-1.0,0.8,0.2,0.8,0.2,-1.0,-1.0,0.23529411764705882,0.7058823529411765,0.23529411764705882,0.7058823529411765,-1.0,-1.0,0.3157894736842105,0.631578947368421,0.3157894736842105,0.631578947368421
-1.0,-1.0,0.25,0.71875,0.24242424242424243,0.696969696969697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,1.0,-1.0,-1.0,0.27586206896551724,0.6896551724137931,0.26666666666666666,0.6666666666666666,-1.0,-1.0,0.25,0.71875,0.24242424242424243,0.696969696969697
-0.8,-0.8823529411764706,0.35714285714285715,0.6071428571428571,0.3333333333333333,0.5666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.42857142857142855,0.5714285714285714,0.42857142857142855,0.5714285714285714,-0.7142857142857143,-0.8461538461538461,0.3333333333333333,0.6190476190476191,0.30434782608695654,0.5652173913043478,-0.8,-0.8823529411764706,0.35714285714285715,0.6071428571428571,0.3333333333333333,0.5666666666666667
-1.0,-1.0,0.2,0.72,0.18518518518518517,0.6666666666666666,0.0,-1.0,0.0,1.0,0.0,1.0,-1.0,-1.0,0.5,0.5,0.5,0.5,-1.0,-1.0,0.14285714285714285,0.7619047619047619,0.13043478260869565,0.6956521739130435,-1.0,-1.0,0.21739130434782608,0.6956521739130435,0.2,0.64
-0.7777777777777778,-0.9354838709677419,0.225,0.775,0.21951219512195122,0.7560975609756098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6,0.0,1.0,0.0,1.0,-0.7777777777777778,-1.0,0.2571428571428571,0.7428571428571429,0.25,0.7222222222222222,-0.7777777777777778,-0.9354838709677419,0.225,0.775,0.21951219512195122,0.7560975609756098
-0.8333333333333334,-0.9310344827586207,0.2926829268292683,0.7073170731707317,0.2926829268292683,0.7073170731707317,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.42857142857142855,0.5714285714285714,0.42857142857142855,0.5714285714285714,-0.7777777777777778,-0.92,0.2647058823529412,0.7352941176470589,0.2647058823529412,0.7352941176470589,-0.8333333333333334,-0.9310344827586207,0.2926829268292683,0.7073170731707317,0.2926829268292683,0.7073170731707317
-1.0,-1.0,0.288135593220339,0.711864406779661,0.27419354838709675,0.6774193548387096,0.0,-1.0,0.0,1.0,0.0,1.0,-1.0,-1.0,0.5555555555555556,0.4444444444444444,0.5555555555555556,0.4444444444444444,-1.0,-1.0,0.24,0.76,0.22641509433962265,0.7169811320754716,-1.0,-1.0,0.29310344827586204,0.7068965517241379,0.2786885245901639,0.6721311475409836
-0.9166666666666666,-0.9636363636363636,0.3037974683544304,0.6962025316455697,0.2823529411764706,0.6470588235294118,-1.0,-1.0,0.2,0.8,0.2,0.8,-1.0,-1.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,-0.9090909090909091,-0.9607843137254902,0.3013698630136986,0.6986301369863014,0.27848101265822783,0.6455696202531646,-0.9130434782608695,-0.9607843137254902,0.3108108108108108,0.6891891891891891,0.2875,0.6375
-0.9072164948453608,-0.9646365422396856,0.2740112994350282,0.7189265536723164,0.2675862068965517,0.7020689655172414,-1.0,-1.0,0.5555555555555556,0.4444444444444444,0.5555555555555556,0.4444444444444444,-0.9310344827586207,-0.9428571428571428,0.35365853658536583,0.6402439024390244,0.3473053892215569,0.6287425149700598,-0.8970588235294118,-0.9702970297029703,0.25,0.7426470588235294,0.24372759856630824,0.7240143369175627,-0.9047619047619048,-0.9643564356435643,0.2703862660944206,0.7224606580829757,0.2639664804469274,0.7053072625698324
-0.8631578947368421,-0.9842209072978304,0.26988636363636365,0.7201704545454546,0.2606310013717421,0.6954732510288066,-1.0,-1.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,-0.92,-0.9809523809523809,0.3225806451612903,0.6774193548387096,0.32051282051282054,0.6730769230769231,-0.8428571428571429,-0.9850746268656716,0.2550091074681239,0.73224043715847,0.2443280977312391,0.7015706806282722,-0.8617021276595744,-0.9840954274353877,0.2693409742120344,0.7206303724928367,0.2600276625172891,0.6957123098201936
-0.9215686274509803,-0.9858407079646018,0.2625482625482625,0.7271557271557272,0.2527881040892193,0.7001239157372986,-1.0,-1.0,0.07692307692307693,0.9230769230769231,0.07692307692307693,0.9230769230769231,-0.96,-1.0,0.3816793893129771,0.6106870229007634,0.37037037037037035,0.5925925925925926,-0.9090909090909091,-0.9835051546391752,0.23839009287925697,0.7507739938080495,0.22916666666666666,0.7217261904761905,-0.9211822660098522,-0.9855334538878843,0.26570680628272253,0.7238219895287958,0.25566750629722923,0.6964735516372796
-0.9090909090909091,-0.9771428571428571,0.2708618331053352,0.7181942544459644,0.2619047619047619,0.6944444444444444,0.0,-1.0,0.0,1.0,0.0,0.8,-0.9393939393939394,-1.0,0.2661290322580645,0.7338709677419355,0.2619047619047619,0.7222222222222222,-0.9030303030303031,-0.9723502304147466,0.27182866556836904,0.71499176276771,0.2619047619047619,0.6888888888888889,-0.9090909090909091,-0.9769673704414588,0.2723521320495186,0.7166437414030261,0.2636484687083888,0.6937416777629827
