,A_FB,A_C,A_in,A_out,Du,Dd,Fu_Nq,Fd_Nq,Fu_NEvents,Fd_NEvents,Du_out,Dd_out,Fu_Nq_out,Fd_Nq_out,Fu_NEvents_out,Fd_NEvents_out,Du_in,Dd_in,Fu_Nq_in,Fd_Nq_in,Fu_NEvents_in,Fd_NEvents_in,Du_notIN,Dd_notIN,Fu_Nq_notIN,Fd_Nq_notIN,Fu_NEvents_notIN,Fd_NEvents_notIN,Du_notOUT,Dd_notOUT,Fu_Nq_notOUT,Fd_Nq_notOUT,Fu_NEvents_notOUT,Fd_NEvents_notOUT,Fu_NqXDu,Fd_NqXDd,Fu_NEventsXDu,Fd_NEventsXDd,Fu_Nq_outXDu_out,Fd_Nq_outXDd_out,Fu_NEvents_outXDu_out,Fd_NEvents_outXDd_out,Fu_Nq_inXDu_in,Fd_Nq_inXDd_in,Fu_NEvents_inXDu_in,Fd_NEvents_inXDd_in,Fu_Nq_notINXDu_notIN,Fd_Nq_notINXDd_notIN,Fu_NEvents_notINXDu_notIN,Fd_NEvents_notINXDd_notIN,Fu_Nq_notOUTXDu_notOUT,Fd_Nq_notOUTXDd_notOUT,Fu_NEvents_notOUTXDu_notOUT,Fd_NEvents_notOUTXDd_notOUT
A_FB,1.0,-0.03025066080045332,-0.09055727474829973,-0.14403151036527195,-0.08627739846910365,-0.00015517757037728438,0.04335073923773792,-0.0414508304846626,0.03111536655116716,-0.04082088144566253,0.0362876754382822,-0.008476415546692402,-0.052791983271036215,0.05559019340667288,-0.07785926607038121,0.024290032518757467,-0.03744699886551841,0.044942030499572315,-0.003143154462659199,-0.004016790132647358,-0.0021817116509920144,-0.0023843250487926384,-0.06726677108288577,-0.01048604823125228,0.06373281800295397,-0.06129730174342884,0.05286366050420271,-0.04956586174686086,-0.08831590295841206,-0.02165115381151054,0.048064473919605916,-0.044488184458325974,0.048455759289980666,-0.04083129573791439,-0.05584622497230322,0.03495382361620172,-0.06224583409414302,0.03755090734408747,0.055495514503404904,-0.05866733930505611,0.07849229052015713,-0.02922788363861943,-0.008817832426514424,0.012755750239760857,-0.010414717546360603,0.008104225086547097,-0.06774579066629637,0.049356860097771245,-0.05951259523714456,0.043850499490501675,-0.06219874953976674,0.03556324864222655,-0.07471964826298952,0.03645829680333026
A_C,-0.03025066080045332,1.0,-0.5191999463624848,0.25634066526330934,-0.3851623357960592,-0.047384013250573745,0.34258787426830306,-0.3147620066421057,0.29143378107920964,-0.3349439839195786,-0.332724813444256,0.18263271724033242,0.21489335045796448,-0.2254018630863546,0.07810454351376765,-0.3176066781882601,-0.12717037082454496,-0.03993397649332147,0.20556819537099147,-0.19801437543718015,0.12212503968683079,-0.2588765341567018,-0.21244350482119792,0.022316535808932034,0.28646898819994604,-0.27819108616925914,0.10478315981984244,-0.3198687723668021,-0.3744383141251759,-0.13029016167862353,0.34112339988432244,-0.31131714865573995,0.3031467777959149,-0.3374007287249101,-0.36901626140358423,0.2670686606860511,-0.38584951660518185,0.3139864591984515,-0.25483526241306703,0.25135800454799806,-0.1313390969046804,0.3223545701375941,-0.20670549581710226,0.18337364189114275,-0.13660419547645503,0.2413081335438861,-0.28987890618792334,0.24953894291625492,-0.1446054878626151,0.3019643122513399,-0.373351295367422,0.26039679919183345,-0.38712870961232926,0.3129158833411425
A_in,-0.09055727474829973,-0.5191999463624848,1.0,-0.33296335294229323,0.6454689760070795,-0.23697509736136643,-0.5869808363883805,0.559181925469913,-0.3460905134604359,0.6229726212074209,0.29554654393229585,-0.40866232024687715,-0.31938502214986897,0.34396490087010156,-0.006060055110657088,0.5697459787627662,0.401297763519188,0.18769340182921798,-0.3633284409236157,0.322796869143308,-0.31844076935172,0.2694815387794988,0.26857300389283784,-0.3303858836648519,-0.4675126616331787,0.47769618531445834,-0.0008243613222343284,0.611489029151764,0.6322438456587732,-0.08954140515787166,-0.5690531214390055,0.5321450587685033,-0.43160346813794787,0.5949842005736515,0.6336631302170631,-0.5407580980034421,0.5462291525387709,-0.6127894814419257,0.34020633802828953,-0.3961877386616625,0.05421559571518427,-0.5722150977821047,0.42477072904414953,-0.2737385169378023,0.3767111387883445,-0.23146242652545018,0.46168002956941234,-0.4987266240462338,0.08654082505399453,-0.606117018274898,0.6290906550874628,-0.507850688457784,0.597994890766412,-0.582562035789056
A_out,-0.14403151036527195,0.25634066526330934,-0.33296335294229323,1.0,-0.12693512532620263,-0.07785330634854158,0.0512173494574187,-0.0313788301987583,0.09057080280559238,-0.03480148972533884,-0.23581673781741389,-0.017481005259789538,0.16194634859622234,-0.15437544386306182,0.1692353974282746,-0.10988189236677035,0.022441871461579478,-0.009218767492820103,0.2185750454386753,-0.2335892578181644,0.12880469454174312,-0.29699965905273035,0.08566829399569667,0.000583286324228169,-0.10835909389984513,0.10435205400979239,-0.20056871140109536,0.015398500215873284,-0.11747696405217191,-0.08119991238786035,0.05934738285944802,-0.039171699105395044,0.059133208907575785,-0.05714388549338905,-0.06875762731352265,0.011703776934537748,-0.12231149024283816,0.026620772648944177,-0.1858124528119434,0.1425389494561059,-0.19361586613675313,0.10260296076492098,-0.16868654221246188,0.22398147624831183,-0.09702629659352037,0.2822224129466848,0.10981924278337889,-0.09089703394105302,0.1790676982142279,-0.012915283544928293,-0.07642056421288995,0.020437942284754287,-0.09347298341480255,0.048145028048841486
Du,-0.08627739846910365,-0.3851623357960592,0.6454689760070795,-0.12693512532620263,1.0,-0.2338605017616634,-0.7311247004337786,0.6744167962610694,-0.4233248501851543,0.7888641575540499,0.4441338944017818,-0.3748535645634376,-0.6056340840973351,0.6182850310884074,-0.27944670192979126,0.7998803784958313,0.5772519281695535,0.07257421320184429,-0.35121019166906525,0.29027276114393036,-0.23728460967290027,0.367428465659167,0.4431235511511925,-0.3430375438033647,-0.632597269349018,0.63295495781172,-0.08042284749504275,0.794936061449248,0.9936305465365795,-0.07442078643191301,-0.6956221481908551,0.6277996109037657,-0.4601299794659718,0.7728901345081484,0.8304110212897231,-0.6415531495146811,0.7621564035335344,-0.7705382820874086,0.6162916502763419,-0.6481801079277122,0.31856510230830304,-0.786970517007742,0.46772993244840794,-0.2645436779847758,0.36274662737304786,-0.3394023280101179,0.6354484456304081,-0.6379596858696748,0.1978724897943857,-0.7795413782719808,0.823859404691619,-0.5925368627061168,0.7761307685708342,-0.752540606297537
Dd,-0.00015517757037728438,-0.047384013250573745,-0.23697509736136643,-0.07785330634854158,-0.2338605017616634,1.0,0.4431469812359286,-0.5098486055614181,0.0736643520314899,-0.5358359187172379,0.27572177397160114,0.7939027979296931,0.06928829272303633,-0.15183641594016542,-0.24124768703590044,-0.3991186940372514,-0.5138772561028394,0.14850508190168155,0.18716588082061725,-0.11202155073628467,0.2715297637834435,0.07628359467387283,0.2786226788607121,0.962145009151458,0.33997775257809976,-0.457958522485515,-0.20061934461238004,-0.562024223926525,-0.24988647921289128,0.9572560422902463,0.4059425319738385,-0.46100715084566113,0.20644113554698826,-0.48474387193770996,-0.42687044685616304,0.6555427061500392,-0.167644498975371,0.5975361398937834,-0.02074023038493974,0.28208090963894333,0.2664308294562787,0.445300649604114,-0.31556002607779,0.13613143797835534,-0.36698512774431885,-0.05402425132708672,-0.23857237420127267,0.6331451261030963,0.2323892623404089,0.6228340655035797,-0.4031035894181076,0.6151761521047371,-0.2724478536583095,0.557644660604088
Fu_Nq,0.04335073923773792,0.34258787426830306,-0.5869808363883805,0.0512173494574187,-0.7311247004337786,0.4431469812359286,1.0,-0.9921893013567404,0.8266895446952776,-0.9769179414810679,-0.3027663099439128,0.5802526447304992,0.586502810627951,-0.6246920054505135,0.20626442717760485,-0.833281216734419,-0.3089253348480697,0.05899008803753932,0.39742425953512145,-0.3705907090602119,0.2693703766188784,-0.43746533975487145,-0.34354754354534106,0.5171671563983169,0.8424549915891002,-0.8716690947524024,0.29280413264322164,-0.9336615561384196,-0.709844698109268,0.2736803033450342,0.9947226556308438,-0.9851960608436353,0.8909091980421551,-0.9837961277914704,-0.9870169304431814,0.9638090762374626,-0.9302172771473061,0.966094326541296,-0.5780166345573847,0.6893889833633692,-0.2294836510752588,0.8352447039759199,-0.4190227486976013,0.36756627062966346,-0.307482617860884,0.42303662217013144,-0.7926686887681808,0.8874551549643714,-0.32954788827711445,0.9242189243354073,-0.987449825920955,0.9613499601469077,-0.9665729635305758,0.9736111467001496
Fd_Nq,-0.0414508304846626,-0.3147620066421057,0.559181925469913,-0.0313788301987583,0.6744167962610694,-0.5098486055614181,-0.9921893013567404,1.0,-0.8116991008043555,0.9698784450159478,0.2690012494469019,-0.6291346703810939,-0.5588702336504228,0.6047599271418297,-0.17402093866037668,0.8127289892270678,0.282489527561501,-0.10013329392382782,-0.37002575605433863,0.34597238584640916,-0.2566967352354026,0.39750123691329436,0.3153572526795921,-0.565877731499917,-0.837833182149138,0.8790131570780017,-0.2898640581408585,0.9247283807389581,0.6527824457504257,-0.3403508719294714,-0.9858991459539254,0.9915732800581603,-0.8887851446621318,0.9716356018341626,0.9684844631409346,-0.9836876190987882,0.894000341100946,-0.9644268596216,0.5486343002078456,-0.6779084233268795,0.19529141347381856,-0.8185351278659473,0.3883119213357655,-0.3518671799099602,0.2891536046323595,-0.3903469800605492,0.7834519482108654,-0.9046160841695777,0.31901563666371785,-0.9196891658233317,0.9661447349521795,-0.9799599054973364,0.9407503673915052,-0.9675558844894387
Fu_NEvents,0.03111536655116716,0.29143378107920964,-0.3460905134604359,0.09057080280559238,-0.4233248501851543,0.0736643520314899,0.8266895446952776,-0.8116991008043555,1.0,-0.6913400995341894,-0.35913660035698997,0.24096282929170298,0.5753124791967016,-0.5799267183144171,0.39806743663731925,-0.5930686820811486,0.11083225668007918,0.08210436646713176,0.3588889408376809,-0.39776351156431966,0.15941537665278566,-0.5790488442618997,-0.24010933859722267,0.17349263756735342,0.6168119799017052,-0.6177858487302643,0.37947452477700605,-0.5941686551499908,-0.3899165602286442,-0.03872778165574871,0.8614632860568262,-0.855885992416966,0.9705077366950284,-0.7515788976025877,-0.7651769623074185,0.7286774237622945,-0.9090121862743904,0.6619740087137792,-0.5751036980062632,0.5863420149741067,-0.4137698893427367,0.5787155364407358,-0.24972746871586524,0.39904215579873253,-0.09301752488217496,0.5614826749422132,-0.5728141250263049,0.5821477237240342,-0.36032530374552535,0.5720440828805898,-0.7863372742812544,0.7806317533409683,-0.8760232502051496,0.7204240136923868
Fd_NEvents,-0.04082088144566253,-0.3349439839195786,0.6229726212074209,-0.03480148972533884,0.7888641575540499,-0.5358359187172379,-0.9769179414810679,0.9698784450159478,-0.6913400995341894,1.0,0.2464560314173456,-0.64555123649567,-0.5455086310620736,0.5922959336200176,-0.12456263718804117,0.8574984647605408,0.44739147371562515,-0.04473908085004015,-0.3936224353701733,0.34449271376493246,-0.300163213986166,0.3630883279913071,0.3367570558815583,-0.6003462626353526,-0.8471057011841392,0.8842886826768871,-0.22418524829137382,0.9814754466593667,0.7745548231765519,-0.36643229864687155,-0.9580448826287242,0.9457533576463188,-0.7808694181416679,0.989135783172963,0.9843383732298838,-0.964077500725179,0.860760217641928,-0.9970477588384316,0.5324267005351236,-0.6721576994706993,0.14639787002668556,-0.8654849688789503,0.46197494661138383,-0.3396326304764841,0.3739949722277228,-0.3504388371131914,0.7966494924964133,-0.9194355159853879,0.2760730854771399,-0.9782000861003872,0.9781026042413681,-0.9437941441793651,0.9169010300486493,-0.9879621698082628
